occurrenceID	taxonID
CT102833	T102833
CT102837	T102837
CT102838	T102838
CT102842	T102842
CT102844	T102844
CT102846	T102846
CT102847	T102847
CT102848	T102848
CT102849	T102849
CT102850	T102850
CT102851	T102851
CT102853	T102853
CT102855	T102855
CT102857	T102857
CT102858	T102858
CT102860	T102860
CT102862	T102862
CT102863	T102863
CT102866	T102866
CT102868	T102868
CT102869	T102869
CT102873	T102873
CT102876	T102876
CT102877	T102877
CT102879	T102879
CT102882	T102882
CT102884	T102884
CT102885	T102885
CT102888	T102888
CT102890	T102890
CT102892	T102892
CT102893	T102893
CT102894	T102894
CT102898	T102898
CT102899	T102899
CT102900	T102900
CT102902	T102902
CT102908	T102908
CT102911	T102911
CT102913	T102913
CT102917	T102917
CT102918	T102918
CT102919	T102919
CT102921	T102921
CT102923	T102923
CT102926	T102926
CT102927	T102927
CT102928	T102928
CT102929	T102929
CT102932	T102932
CT102935	T102935
CT102936	T102936
CT102939	T102939
CT102942	T102942
CT102944	T102944
CT102947	T102947
CT102948	T102948
CT102951	T102951
CT102954	T102954
CT102956	T102956
CT102957	T102957
CT102959	T102959
CT102963	T102963
CT102964	T102964
CT102967	T102967
CT102968	T102968
CT102971	T102971
CT102972	T102972
CT102973	T102973
CT102976	T102976
CT102978	T102978
CT102979	T102979
CT102981	T102981
CT102982	T102982
CT102984	T102984
CT102987	T102987
CT102988	T102988
CT102989	T102989
CT102994	T102994
CT102995	T102995
CT102997	T102997
CT103003	T103003
CT103007	T103007
CT103008	T103008
CT103009	T103009
CT103012	T103012
CT103015	T103015
CT103019	T103019
CT103020	T103020
CT103021	T103021
CT103023	T103023
CT103027	T103027
CT103028	T103028
CT103029	T103029
CT103031	T103031
CT103032	T103032
CT103034	T103034
CT103035	T103035
CT103036	T103036
CT103040	T103040
CT103041	T103041
CT103042	T103042
CT103045	T103045
CT103046	T103046
CT103050	T103050
CT103052	T103052
CT103054	T103054
CT103055	T103055
CT103056	T103056
CT103057	T103057
CT103059	T103059
CT103062	T103062
CT103065	T103065
CT103067	T103067
CT103068	T103068
CT103070	T103070
CT103072	T103072
CT103073	T103073
CT103074	T103074
CT103075	T103075
CT103076	T103076
CT103077	T103077
CT103080	T103080
CT103083	T103083
CT103085	T103085
CT103087	T103087
CT103088	T103088
CT103092	T103092
CT103093	T103093
CT103095	T103095
CT103096	T103096
CT103097	T103097
CT103099	T103099
CT103101	T103101
CT103102	T103102
CT103103	T103103
CT103108	T103108
CT103109	T103109
CT103110	T103110
CT103112	T103112
CT103113	T103113
CT103117	T103117
CT103119	T103119
CT103120	T103120
CT103122	T103122
CT103123	T103123
CT103125	T103125
CT103127	T103127
CT103128	T103128
CT103129	T103129
CT103132	T103132
CT103134	T103134
CT103135	T103135
CT103137	T103137
CT103138	T103138
CT103140	T103140
CT103142	T103142
CT103143	T103143
CT103145	T103145
CT103148	T103148
CT103150	T103150
CT103152	T103152
CT103153	T103153
CT103155	T103155
CT103157	T103157
CT103158	T103158
CT103160	T103160
CT103162	T103162
CT103164	T103164
CT103165	T103165
CT103167	T103167
CT103170	T103170
CT103172	T103172
CT103173	T103173
CT103175	T103175
CT103181	T103181
CT103182	T103182
CT103184	T103184
CT103185	T103185
CT103187	T103187
CT103189	T103189
CT103190	T103190
CT103193	T103193
CT103195	T103195
CT103197	T103197
CT103200	T103200
CT103203	T103203
CT103205	T103205
CT103207	T103207
CT103209	T103209
CT103212	T103212
CT103213	T103213
CT103216	T103216
CT103218	T103218
CT103221	T103221
CT103223	T103223
CT103226	T103226
CT103227	T103227
CT103228	T103228
CT103229	T103229
CT103230	T103230
CT103234	T103234
