occurrenceID	taxonID
CT101746	T101746
CT101747	T101747
CT101749	T101749
CT101750	T101750
CT101751	T101751
CT101755	T101755
CT101756	T101756
CT101759	T101759
CT101761	T101761
CT101763	T101763
CT101764	T101764
CT101767	T101767
CT101768	T101768
CT101770	T101770
CT101771	T101771
CT101772	T101772
CT101773	T101773
CT101776	T101776
CT101777	T101777
CT101781	T101781
CT101782	T101782
CT101783	T101783
CT101784	T101784
CT101785	T101785
CT101788	T101788
CT101790	T101790
CT101792	T101792
CT101797	T101797
CT101798	T101798
CT101801	T101801
CT101804	T101804
CT101807	T101807
CT101809	T101809
CT101810	T101810
CT101812	T101812
CT101814	T101814
CT101815	T101815
CT101817	T101817
CT101818	T101818
CT101819	T101819
CT101820	T101820
CT101821	T101821
CT101822	T101822
CT101824	T101824
CT101827	T101827
CT101828	T101828
CT101830	T101830
CT101831	T101831
CT101835	T101835
CT101837	T101837
CT101838	T101838
CT101842	T101842
CT101843	T101843
CT101845	T101845
CT101846	T101846
CT101847	T101847
CT101849	T101849
CT101851	T101851
CT101854	T101854
CT101855	T101855
CT101857	T101857
CT101861	T101861
CT101867	T101867
CT101868	T101868
CT101869	T101869
CT101870	T101870
CT101872	T101872
CT101873	T101873
CT101875	T101875
CT101877	T101877
CT101879	T101879
CT101880	T101880
CT101881	T101881
CT101883	T101883
CT101884	T101884
CT101886	T101886
CT101888	T101888
CT101889	T101889
CT101891	T101891
CT101892	T101892
CT101895	T101895
CT101897	T101897
CT101898	T101898
CT101900	T101900
CT101901	T101901
CT101903	T101903
CT101905	T101905
CT101907	T101907
CT101908	T101908
CT101909	T101909
CT101910	T101910
CT101911	T101911
CT101912	T101912
CT101914	T101914
CT101915	T101915
CT101917	T101917
CT101921	T101921
CT101922	T101922
CT101924	T101924
CT101926	T101926
CT101927	T101927
CT101928	T101928
CT101930	T101930
CT101931	T101931
CT101933	T101933
CT101936	T101936
CT101938	T101938
CT101940	T101940
CT101942	T101942
CT101944	T101944
CT101946	T101946
CT101947	T101947
CT101950	T101950
CT101951	T101951
CT101953	T101953
CT101955	T101955
CT101956	T101956
CT101957	T101957
CT101959	T101959
CT101960	T101960
CT101962	T101962
CT101963	T101963
CT101964	T101964
CT101967	T101967
CT101973	T101973
CT101977	T101977
CT101980	T101980
CT101981	T101981
CT101982	T101982
CT101985	T101985
CT101988	T101988
CT101990	T101990
CT101992	T101992
CT101996	T101996
CT101997	T101997
CT101998	T101998
CT102000	T102000
CT102001	T102001
CT102003	T102003
CT102007	T102007
CT102011	T102011
CT102014	T102014
CT102016	T102016
CT102017	T102017
CT102019	T102019
CT102021	T102021
CT102022	T102022
CT102024	T102024
CT102026	T102026
CT102027	T102027
CT102030	T102030
CT102033	T102033
CT102034	T102034
CT102036	T102036
CT102040	T102040
CT102044	T102044
CT102047	T102047
CT102049	T102049
CT102054	T102054
CT102055	T102055
CT102058	T102058
CT102061	T102061
CT102064	T102064
CT102067	T102067
CT102069	T102069
CT102071	T102071
CT102072	T102072
CT102074	T102074
CT102077	T102077
CT102078	T102078
CT102082	T102082
CT102083	T102083
CT102085	T102085
CT102088	T102088
CT102089	T102089
CT102093	T102093
CT102095	T102095
CT102098	T102098
CT102099	T102099
CT102101	T102101
CT102102	T102102
CT102105	T102105
CT102107	T102107
CT102108	T102108
CT102111	T102111
CT102112	T102112
CT102113	T102113
CT102114	T102114
CT102117	T102117
CT102121	T102121
CT102122	T102122
CT102123	T102123
CT102124	T102124
CT102125	T102125
CT102126	T102126
CT102128	T102128
CT102129	T102129
CT102131	T102131
CT102133	T102133
CT102134	T102134
CT102135	T102135
CT102136	T102136
CT102138	T102138
CT102139	T102139
CT102140	T102140
CT102141	T102141
CT102142	T102142
CT102144	T102144
CT102147	T102147
CT102148	T102148
CT102151	T102151
CT102152	T102152
CT102154	T102154
CT102159	T102159
CT102160	T102160
CT102162	T102162
CT102164	T102164
CT102165	T102165
CT102170	T102170
CT102173	T102173
CT102179	T102179
CT102183	T102183
CT102184	T102184
CT102186	T102186
CT102188	T102188
CT102191	T102191
CT102192	T102192
CT102195	T102195
CT102198	T102198
CT102199	T102199
CT102200	T102200
CT102204	T102204
CT102205	T102205
CT102208	T102208
CT102209	T102209
CT102210	T102210
CT102212	T102212
CT102215	T102215
CT102217	T102217
CT102218	T102218
CT102219	T102219
CT102221	T102221
CT102222	T102222
CT102223	T102223
CT102225	T102225
CT102226	T102226
CT102228	T102228
CT102235	T102235
CT102237	T102237
CT102239	T102239
CT102240	T102240
CT102242	T102242
CT102245	T102245
CT102248	T102248
CT102251	T102251
CT102253	T102253
CT102256	T102256
CT102259	T102259
CT102261	T102261
CT102262	T102262
CT102266	T102266
CT102267	T102267
CT102269	T102269
CT102272	T102272
CT102274	T102274
CT102278	T102278
CT102279	T102279
CT102282	T102282
CT102284	T102284
CT102285	T102285
CT102287	T102287
CT102289	T102289
CT102291	T102291
CT102292	T102292
CT102294	T102294
CT102299	T102299
CT102302	T102302
CT102303	T102303
CT102304	T102304
CT102307	T102307
CT102308	T102308
CT102312	T102312
CT102316	T102316
CT102317	T102317
CT102320	T102320
CT102324	T102324
CT102328	T102328
CT102329	T102329
CT102333	T102333
CT102334	T102334
CT102335	T102335
CT102337	T102337
CT102338	T102338
CT102340	T102340
CT102341	T102341
CT102343	T102343
CT102344	T102344
CT102346	T102346
CT102347	T102347
CT102348	T102348
CT102350	T102350
CT102352	T102352
CT102354	T102354
CT102355	T102355
CT102357	T102357
CT102359	T102359
CT102361	T102361
CT102362	T102362
CT102365	T102365
CT102367	T102367
CT102368	T102368
CT102371	T102371
CT102372	T102372
CT102373	T102373
CT102374	T102374
CT102376	T102376
CT102377	T102377
CT102379	T102379
CT102380	T102380
CT102382	T102382
CT102383	T102383
CT102384	T102384
CT102386	T102386
CT102387	T102387
CT102388	T102388
CT102389	T102389
CT102390	T102390
CT102392	T102392
CT102394	T102394
CT102397	T102397
CT102398	T102398
CT102400	T102400
CT102402	T102402
CT102403	T102403
CT102404	T102404
CT102407	T102407
CT102408	T102408
CT102409	T102409
CT102410	T102410
CT102411	T102411
CT102413	T102413
CT102416	T102416
CT102417	T102417
CT102419	T102419
CT102420	T102420
CT102421	T102421
CT102423	T102423
CT102425	T102425
CT102427	T102427
CT102428	T102428
CT102431	T102431
CT102432	T102432
CT102435	T102435
CT102438	T102438
CT102440	T102440
CT102443	T102443
CT102446	T102446
CT102447	T102447
CT102449	T102449
CT102450	T102450
CT102453	T102453
CT102457	T102457
CT102460	T102460
CT102461	T102461
CT102465	T102465
CT102466	T102466
CT102467	T102467
CT102468	T102468
CT102469	T102469
CT102471	T102471
CT102472	T102472
CT102475	T102475
CT102479	T102479
CT102481	T102481
CT102485	T102485
CT102486	T102486
CT102488	T102488
CT102490	T102490
CT102492	T102492
CT102495	T102495
CT102499	T102499
CT102502	T102502
CT102505	T102505
CT102507	T102507
CT102508	T102508
CT102513	T102513
CT102514	T102514
CT102519	T102519
CT102521	T102521
CT102523	T102523
CT102525	T102525
CT102528	T102528
CT102531	T102531
CT102532	T102532
CT102536	T102536
CT102540	T102540
CT102541	T102541
CT102542	T102542
CT102544	T102544
CT102546	T102546
CT102547	T102547
