occurrenceID	taxonID
CT101612	T101612
CT101614	T101614
CT101616	T101616
CT101618	T101618
CT101619	T101619
CT101620	T101620
CT101623	T101623
CT101625	T101625
CT101626	T101626
CT101628	T101628
CT101629	T101629
CT101631	T101631
CT101632	T101632
CT101633	T101633
CT101635	T101635
CT101637	T101637
CT101641	T101641
CT101643	T101643
CT101646	T101646
CT101647	T101647
CT101649	T101649
CT101650	T101650
CT101652	T101652
CT101653	T101653
CT101655	T101655
CT101656	T101656
CT101658	T101658
CT101659	T101659
CT101660	T101660
CT101662	T101662
CT101664	T101664
CT101666	T101666
CT101668	T101668
CT101670	T101670
CT101671	T101671
CT101672	T101672
CT101673	T101673
CT101675	T101675
CT101679	T101679
CT101681	T101681
CT101684	T101684
CT101686	T101686
CT101688	T101688
CT101689	T101689
CT101690	T101690
CT101694	T101694
CT101696	T101696
CT101698	T101698
CT101699	T101699
CT101701	T101701
CT101703	T101703
CT101705	T101705
CT101706	T101706
CT101707	T101707
CT101710	T101710
CT101712	T101712
CT101714	T101714
CT101715	T101715
CT101718	T101718
CT101720	T101720
CT101722	T101722
CT101725	T101725
CT101726	T101726
CT101730	T101730
CT101731	T101731
CT101732	T101732
CT101735	T101735
CT101737	T101737
CT101740	T101740
CT101741	T101741
CT101743	T101743
CT101744	T101744
CT101745	T101745
CT101747	T101747
CT101748	T101748
CT101750	T101750
CT101751	T101751
CT101753	T101753
CT101754	T101754
CT101755	T101755
CT101757	T101757
CT101759	T101759
CT101760	T101760
CT101762	T101762
CT101764	T101764
CT101766	T101766
CT101767	T101767
CT101768	T101768
CT101769	T101769
CT101770	T101770
CT101771	T101771
CT101772	T101772
CT101774	T101774
CT101775	T101775
CT101776	T101776
CT101777	T101777
CT101780	T101780
CT101783	T101783
CT101784	T101784
CT101786	T101786
CT101787	T101787
CT101789	T101789
CT101790	T101790
CT101792	T101792
CT101793	T101793
CT101795	T101795
CT101799	T101799
CT101800	T101800
CT101801	T101801
CT101803	T101803
CT101805	T101805
CT101807	T101807
CT101809	T101809
CT101812	T101812
CT101813	T101813
CT101815	T101815
CT101818	T101818
CT101820	T101820
CT101821	T101821
CT101822	T101822
CT101823	T101823
CT101824	T101824
CT101826	T101826
CT101828	T101828
CT101829	T101829
CT101830	T101830
CT101833	T101833
CT101835	T101835
CT101837	T101837
CT101838	T101838
CT101839	T101839
CT101840	T101840
CT101841	T101841
CT101842	T101842
CT101844	T101844
CT101847	T101847
CT101849	T101849
CT101850	T101850
CT101852	T101852
CT101854	T101854
CT101856	T101856
CT101857	T101857
CT101858	T101858
CT101860	T101860
CT101862	T101862
CT101864	T101864
CT101870	T101870
CT101871	T101871
CT101872	T101872
CT101874	T101874
CT101875	T101875
CT101876	T101876
CT101877	T101877
CT101878	T101878
CT101879	T101879
CT101881	T101881
CT101884	T101884
CT101886	T101886
CT101888	T101888
CT101889	T101889
CT101893	T101893
CT101894	T101894
CT101897	T101897
CT101899	T101899
CT101901	T101901
CT101902	T101902
CT101904	T101904
CT101906	T101906
CT101908	T101908
CT101910	T101910
CT101911	T101911
CT101912	T101912
CT101913	T101913
CT101915	T101915
CT101916	T101916
CT101918	T101918
CT101920	T101920
CT101923	T101923
CT101925	T101925
CT101927	T101927
CT101929	T101929
CT101932	T101932
CT101935	T101935
CT101937	T101937
CT101940	T101940
CT101941	T101941
CT101943	T101943
CT101945	T101945
CT101947	T101947
CT101948	T101948
CT101950	T101950
CT101953	T101953
CT101955	T101955
CT101957	T101957
CT101958	T101958
CT101959	T101959
CT101960	T101960
CT101961	T101961
CT101963	T101963
CT101964	T101964
CT101965	T101965
CT101966	T101966
CT101967	T101967
CT101970	T101970
CT101971	T101971
CT101972	T101972
CT101974	T101974
CT101977	T101977
CT101979	T101979
CT101980	T101980
CT101981	T101981
CT101984	T101984
CT101985	T101985
CT101987	T101987
