occurrenceID	taxonID
CT101240	T101240
CT101244	T101244
CT101245	T101245
CT101249	T101249
CT101250	T101250
CT101251	T101251
CT101252	T101252
CT101253	T101253
CT101254	T101254
CT101256	T101256
CT101258	T101258
CT101259	T101259
CT101261	T101261
CT101265	T101265
CT101268	T101268
CT101270	T101270
CT101271	T101271
CT101274	T101274
CT101276	T101276
CT101277	T101277
CT101278	T101278
CT101280	T101280
CT101281	T101281
CT101284	T101284
CT101285	T101285
CT101288	T101288
CT101290	T101290
CT101291	T101291
CT101292	T101292
CT101293	T101293
CT101294	T101294
CT101296	T101296
CT101297	T101297
CT101301	T101301
CT101302	T101302
CT101304	T101304
CT101305	T101305
CT101308	T101308
CT101309	T101309
CT101310	T101310
CT101312	T101312
CT101313	T101313
CT101315	T101315
CT101317	T101317
CT101318	T101318
CT101319	T101319
CT101320	T101320
CT101321	T101321
CT101324	T101324
CT101327	T101327
CT101330	T101330
CT101331	T101331
CT101332	T101332
CT101334	T101334
CT101335	T101335
CT101337	T101337
CT101339	T101339
CT101340	T101340
CT101342	T101342
CT101343	T101343
CT101344	T101344
CT101346	T101346
CT101349	T101349
CT101350	T101350
CT101351	T101351
CT101353	T101353
CT101357	T101357
CT101358	T101358
CT101359	T101359
CT101360	T101360
CT101361	T101361
CT101363	T101363
CT101365	T101365
CT101367	T101367
CT101368	T101368
CT101370	T101370
CT101372	T101372
CT101373	T101373
CT101375	T101375
CT101377	T101377
CT101379	T101379
CT101380	T101380
CT101381	T101381
CT101382	T101382
CT101386	T101386
CT101387	T101387
CT101389	T101389
CT101391	T101391
CT101393	T101393
CT101394	T101394
CT101395	T101395
CT101396	T101396
CT101398	T101398
CT101399	T101399
CT101400	T101400
CT101402	T101402
CT101403	T101403
CT101405	T101405
CT101407	T101407
CT101408	T101408
CT101409	T101409
CT101412	T101412
CT101413	T101413
CT101415	T101415
CT101416	T101416
CT101420	T101420
CT101421	T101421
CT101423	T101423
CT101425	T101425
CT101426	T101426
CT101428	T101428
CT101430	T101430
CT101431	T101431
CT101433	T101433
CT101435	T101435
CT101437	T101437
CT101439	T101439
CT101441	T101441
CT101443	T101443
